cpt_1,proc_type,procedure_group,Description
97602,Evaluation & Management,009-Other minor skin & breast surgery,"Removal of devitalized tissue from wound(s), non-selective debridement, without anesthesia (eg, wet-to-moist dressings, enzymatic, abrasion, larval therapy), including topical application(s), wound assessment, and instruction(s) for ongoing care, per session"
0662T,Temporary Code,009-Other minor skin & breast surgery,"Scalp cooling, mechanical; initial measurement and calibration of cap"
10030,Skin / Dermatology,009-Other minor skin & breast surgery,"Image-guided fluid collection drainage by catheter (eg, abscess, hematoma, seroma, lymphocele, cyst), soft tissue (eg, extremity, abdominal wall, neck), percutaneous"
10121,Skin / Dermatology,009-Other minor skin & breast surgery,"Incision and removal of foreign body, subcutaneous tissues; complicated"
11057,Skin / Dermatology,009-Other minor skin & breast surgery,"Paring or cutting of benign hyperkeratotic lesion (eg, corn or callus); more than 4 lesions"
11201,Skin / Dermatology,009-Other minor skin & breast surgery,"Removal of skin tags, multiple fibrocutaneous tags, any area; each additional 10 lesions, or part thereof (List separately in addition to code for primary procedure)"
11463,Skin / Dermatology,009-Other minor skin & breast surgery,"Excision of skin and subcutaneous tissue for hidradenitis, inguinal; with complex repair"
11621,Skin / Dermatology,009-Other minor skin & breast surgery,"Excision, malignant lesion including margins, scalp, neck, hands, feet, genitalia; excised diameter 0.6 to 1.0 cm"
11624,Skin / Dermatology,009-Other minor skin & breast surgery,"Excision, malignant lesion including margins, scalp, neck, hands, feet, genitalia; excised diameter 3.1 to 4.0 cm"
11626,Skin / Dermatology,009-Other minor skin & breast surgery,"Excision, malignant lesion including margins, scalp, neck, hands, feet, genitalia; excised diameter over 4.0 cm"
11644,Skin / Dermatology,009-Other minor skin & breast surgery,"Excision, malignant lesion including margins, face, ears, eyelids, nose, lips; excised diameter 3.1 to 4.0 cm"
11646,Skin / Dermatology,009-Other minor skin & breast surgery,"Excision, malignant lesion including margins, face, ears, eyelids, nose, lips; excised diameter over 4.0 cm"
11752,Skin / Dermatology,009-Other minor skin & breast surgery,NA
11760,Skin / Dermatology,009-Other minor skin & breast surgery,Repair of nail bed
11762,Skin / Dermatology,009-Other minor skin & breast surgery,Reconstruction of nail bed with graft
11765,Skin / Dermatology,009-Other minor skin & breast surgery,"Wedge excision of skin of nail fold (eg, for ingrown toenail)"
11954,Skin / Dermatology,009-Other minor skin & breast surgery,"Subcutaneous injection of filling material (eg, collagen); over 10.0 cc"
11980,Skin / Dermatology,009-Other minor skin & breast surgery,Subcutaneous hormone pellet implantation (implantation of estradiol and/or testosterone pellets beneath the skin)
11983,Skin / Dermatology,009-Other minor skin & breast surgery,"Removal with reinsertion, non-biodegradable drug delivery implant"
12005,Skin / Dermatology,009-Other minor skin & breast surgery,"Simple repair of superficial wounds of scalp, neck, axillae, external genitalia, trunk and/or extremities (including hands and feet); 12.6 cm to 20.0 cm"
12014,Skin / Dermatology,009-Other minor skin & breast surgery,"Simple repair of superficial wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 5.1 cm to 7.5 cm"
12032,Skin / Dermatology,009-Other minor skin & breast surgery,"Repair, intermediate, wounds of scalp, axillae, trunk and/or extremities (excluding hands and feet); 2.6 cm to 7.5 cm"
12046,Skin / Dermatology,009-Other minor skin & breast surgery,"Repair, intermediate, wounds of neck, hands, feet and/or external genitalia; 20.1 cm to 30.0 cm"
15775,Skin / Dermatology,009-Other minor skin & breast surgery,Punch graft for hair transplant; 1 to 15 punch grafts
11101,Skin / Dermatology,009-Other minor skin & breast surgery,NA
11104,Skin / Dermatology,009-Other minor skin & breast surgery,"Punch biopsy of skin (including simple closure, when performed); single lesion"
11106,Skin / Dermatology,009-Other minor skin & breast surgery,"Incisional biopsy of skin (eg, wedge) (including simple closure, when performed); single lesion"
11107,Skin / Dermatology,009-Other minor skin & breast surgery,"Incisional biopsy of skin (eg, wedge) (including simple closure, when performed); each separate/additional lesion (List separately in addition to code for primary procedure)"
11400,Skin / Dermatology,009-Other minor skin & breast surgery,"Excision, benign lesion including margins, except skin tag (unless listed elsewhere), trunk, arms or legs; excised diameter 0.5 cm or less"
11401,Skin / Dermatology,009-Other minor skin & breast surgery,"Excision, benign lesion including margins, except skin tag (unless listed elsewhere), trunk, arms or legs; excised diameter 0.6 to 1.0 cm"
11402,Skin / Dermatology,009-Other minor skin & breast surgery,"Excision, benign lesion including margins, except skin tag (unless listed elsewhere), trunk, arms or legs; excised diameter 1.1 to 2.0 cm"
11422,Skin / Dermatology,009-Other minor skin & breast surgery,"Excision, benign lesion including margins, except skin tag (unless listed elsewhere), scalp, neck, hands, feet, genitalia; excised diameter 1.1 to 2.0 cm"
11462,Skin / Dermatology,009-Other minor skin & breast surgery,"Excision of skin and subcutaneous tissue for hidradenitis, inguinal; with simple or intermediate repair"
11470,Skin / Dermatology,009-Other minor skin & breast surgery,"Excision of skin and subcutaneous tissue for hidradenitis, perianal, perineal, or umbilical; with simple or intermediate repair"
11471,Skin / Dermatology,009-Other minor skin & breast surgery,"Excision of skin and subcutaneous tissue for hidradenitis, perianal, perineal, or umbilical; with complex repair"
11602,Skin / Dermatology,009-Other minor skin & breast surgery,"Excision, malignant lesion including margins, trunk, arms, or legs; excised diameter 1.1 to 2.0 cm"
11620,Skin / Dermatology,009-Other minor skin & breast surgery,"Excision, malignant lesion including margins, scalp, neck, hands, feet, genitalia; excised diameter 0.5 cm or less"
11622,Skin / Dermatology,009-Other minor skin & breast surgery,"Excision, malignant lesion including margins, scalp, neck, hands, feet, genitalia; excised diameter 1.1 to 2.0 cm"
11640,Skin / Dermatology,009-Other minor skin & breast surgery,"Excision, malignant lesion including margins, face, ears, eyelids, nose, lips; excised diameter 0.5 cm or less"
11643,Skin / Dermatology,009-Other minor skin & breast surgery,"Excision, malignant lesion including margins, face, ears, eyelids, nose, lips; excised diameter 2.1 to 3.0 cm"
11750,Skin / Dermatology,009-Other minor skin & breast surgery,"Excision of nail and nail matrix, partial or complete (eg, ingrown or deformed nail), for permanent removal;"
11920,Skin / Dermatology,009-Other minor skin & breast surgery,"Tattooing, intradermal introduction of insoluble opaque pigments to correct color defects of skin, including micropigmentation; 6.0 sq cm or less"
11922,Skin / Dermatology,009-Other minor skin & breast surgery,"Tattooing, intradermal introduction of insoluble opaque pigments to correct color defects of skin, including micropigmentation; each additional 20.0 sq cm, or part thereof (List separately in addition to code for primary procedure)"
11951,Skin / Dermatology,009-Other minor skin & breast surgery,"Subcutaneous injection of filling material (eg, collagen); 1.1 to 5.0 cc"
11952,Skin / Dermatology,009-Other minor skin & breast surgery,"Subcutaneous injection of filling material (eg, collagen); 5.1 to 10.0 cc"
11976,Skin / Dermatology,009-Other minor skin & breast surgery,"Removal, implantable contraceptive capsules"
11981,Skin / Dermatology,009-Other minor skin & breast surgery,"Insertion, drug-delivery implant (ie, bioresorbable, biodegradable, non-biodegradable)"
12001,Skin / Dermatology,009-Other minor skin & breast surgery,"Simple repair of superficial wounds of scalp, neck, axillae, external genitalia, trunk and/or extremities (including hands and feet); 2.5 cm or less"
12004,Skin / Dermatology,009-Other minor skin & breast surgery,"Simple repair of superficial wounds of scalp, neck, axillae, external genitalia, trunk and/or extremities (including hands and feet); 7.6 cm to 12.5 cm"
12011,Skin / Dermatology,009-Other minor skin & breast surgery,"Simple repair of superficial wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 2.5 cm or less"
12013,Skin / Dermatology,009-Other minor skin & breast surgery,"Simple repair of superficial wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 2.6 cm to 5.0 cm"
12016,Skin / Dermatology,009-Other minor skin & breast surgery,"Simple repair of superficial wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 12.6 cm to 20.0 cm"
12017,Skin / Dermatology,009-Other minor skin & breast surgery,"Simple repair of superficial wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 20.1 cm to 30.0 cm"
12018,Skin / Dermatology,009-Other minor skin & breast surgery,"Simple repair of superficial wounds of face, ears, eyelids, nose, lips and/or mucous membranes; over 30.0 cm"
12034,Skin / Dermatology,009-Other minor skin & breast surgery,"Repair, intermediate, wounds of scalp, axillae, trunk and/or extremities (excluding hands and feet); 7.6 cm to 12.5 cm"
12035,Skin / Dermatology,009-Other minor skin & breast surgery,"Repair, intermediate, wounds of scalp, axillae, trunk and/or extremities (excluding hands and feet); 12.6 cm to 20.0 cm"
10035,Skin / Dermatology,009-Other minor skin & breast surgery,"Placement of soft tissue localization device(s) (eg, clip, metallic pellet, wire/needle, radioactive seeds), percutaneous, including imaging guidance; first lesion"
11055,Skin / Dermatology,009-Other minor skin & breast surgery,"Paring or cutting of benign hyperkeratotic lesion (eg, corn or callus); single lesion"
11100,Skin / Dermatology,009-Other minor skin & breast surgery,NA
11102,Skin / Dermatology,009-Other minor skin & breast surgery,"Tangential biopsy of skin (eg, shave, scoop, saucerize, curette); single lesion"
11406,Skin / Dermatology,009-Other minor skin & breast surgery,"Excision, benign lesion including margins, except skin tag (unless listed elsewhere), trunk, arms or legs; excised diameter over 4.0 cm"
11424,Skin / Dermatology,009-Other minor skin & breast surgery,"Excision, benign lesion including margins, except skin tag (unless listed elsewhere), scalp, neck, hands, feet, genitalia; excised diameter 3.1 to 4.0 cm"
11426,Skin / Dermatology,009-Other minor skin & breast surgery,"Excision, benign lesion including margins, except skin tag (unless listed elsewhere), scalp, neck, hands, feet, genitalia; excised diameter over 4.0 cm"
11441,Skin / Dermatology,009-Other minor skin & breast surgery,"Excision, other benign lesion including margins, except skin tag (unless listed elsewhere), face, ears, eyelids, nose, lips, mucous membrane; excised diameter 0.6 to 1.0 cm"
11442,Skin / Dermatology,009-Other minor skin & breast surgery,"Excision, other benign lesion including margins, except skin tag (unless listed elsewhere), face, ears, eyelids, nose, lips, mucous membrane; excised diameter 1.1 to 2.0 cm"
11444,Skin / Dermatology,009-Other minor skin & breast surgery,"Excision, other benign lesion including margins, except skin tag (unless listed elsewhere), face, ears, eyelids, nose, lips, mucous membrane; excised diameter 3.1 to 4.0 cm"
